,F1,F2,F3,F4,F5,F6,F7
1,5,10,17,31,37,38,1
2,3,7,11,14,27,30,6
3,5,7,10,11,16,22,7
4,2,5,8,17,30,33,10
5,7,11,13,17,22,39,1
6,4,5,14,15,23,39,7
7,10,14,15,18,20,39,9
8,2,7,8,14,17,20,3
9,1,16,22,29,34,36,10
10,6,16,18,26,37,38,1
11,10,18,21,25,30,31,8
12,3,10,11,13,20,30,10
13,2,8,13,22,33,34,7
14,2,6,7,12,21,32,5
15,18,20,23,28,34,38,1
16,4,8,10,21,29,30,10
17,1,3,18,20,28,38,6
18,12,16,18,24,32,33,1
19,1,8,15,26,30,32,8
20,14,16,21,26,27,32,6
21,4,15,16,17,26,36,2
22,1,9,18,22,23,37,3
23,19,22,26,34,35,36,1
24,14,16,23,26,28,34,7
25,1,5,6,9,11,23,7
26,1,7,11,20,24,34,6
27,6,13,14,23,26,34,9
28,3,6,16,18,22,28,9
29,8,12,13,26,27,28,7
30,9,11,13,14,16,27,1
31,4,5,14,15,22,35,8
32,1,10,18,26,34,38,5
33,14,17,21,26,28,35,7
34,7,9,11,17,26,29,7
35,3,5,8,13,24,39,5
36,10,16,18,34,37,38,10
37,5,22,26,27,31,34,2
38,1,10,26,35,37,38,7
39,7,19,21,31,33,37,1
40,1,7,17,18,21,31,10
41,1,4,7,37,38,39,1
42,17,19,25,30,31,32,1
43,3,4,6,17,20,21,4
44,7,10,12,14,18,29,5
45,6,8,19,32,37,39,3
46,1,9,10,12,18,21,7
47,11,14,17,20,29,37,6
48,11,14,32,36,38,39,1
49,1,9,13,20,34,38,4
50,5,11,19,27,30,39,9
51,6,13,19,22,24,35,8
52,1,7,15,20,22,30,8
53,3,5,18,33,34,36,8
54,3,7,24,27,31,33,4
55,1,9,14,17,23,27,1
56,4,14,24,29,31,38,4
57,4,8,18,21,23,32,9
58,2,5,18,23,30,31,10
59,8,12,13,22,29,34,6
60,5,7,16,18,23,29,1
61,19,23,24,32,37,38,2
62,4,5,7,8,10,24,4
63,2,19,25,30,32,38,7
64,4,19,20,27,29,35,1
65,7,11,20,26,34,39,10
66,1,16,25,32,36,39,5
67,7,10,20,22,28,33,10
68,1,6,24,29,36,38,9
69,2,9,12,17,27,34,8
70,7,9,16,17,21,23,7
71,5,8,20,28,30,34,7
72,3,11,12,16,18,35,7
73,4,9,13,14,23,24,7
74,1,8,11,17,21,26,7
75,3,6,9,13,20,37,10
76,1,6,8,21,28,32,8
77,13,20,21,27,33,35,9
78,4,9,11,18,21,30,10
79,8,9,16,29,30,34,3
80,3,12,13,16,26,35,1
81,13,14,23,34,35,39,6
82,4,11,24,31,34,39,6
83,2,9,11,28,31,33,9
84,1,22,25,27,31,36,6
85,4,7,12,18,28,35,7
86,2,7,8,17,21,35,6
87,8,9,15,17,18,23,1
88,2,16,17,20,21,29,7
89,7,21,27,31,32,36,9
90,3,8,25,26,31,33,2
91,4,16,17,23,25,39,7
92,3,8,15,17,23,37,7
93,7,10,16,18,26,27,2
94,2,11,12,16,19,24,2
95,9,19,20,26,30,35,10
96,3,5,7,11,13,26,5
97,3,5,14,23,24,28,3
98,4,10,17,35,36,39,2
99,12,17,26,29,32,35,7
100,6,22,25,27,28,31,7
